timestamp,station,PM2.5,PM10,SO2,NO2,CO,O3,AQI
2025-12-14 19:32:24.123438,Chauhan_Colony_Chandrapur,114,56,3.6,26.6,7.3,13,114
2025-12-14 19:32:26.523070,MIDC_Chandrapur,114,56,3.6,26.6,7.3,13,114
